UID          PID    PPID  C STIME TTY          TIME CMD
root         475       2  0 21:07 ?        00:00:00 [kworker/R-nvme-wq]
root         476       2  0 21:07 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         477       2  0 21:07 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         478       2  0 21:07 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         490       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-worker]
root         491       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-delalloc]
root         492       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-flush_delalloc]
root         493       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-cache]
root         494       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-fixup]
root         495       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-endio]
root         496       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-endio-meta]
root         497       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-rmw]
root         498       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-endio-write]
root         499       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-compressed-write]
root         500       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-freespace-write]
root         501       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-delayed-meta]
root         502       2  0 21:07 ?        00:00:00 [kworker/R-btrfs-qgroup-rescan]
root         503       2  0 21:07 ?        00:00:00 [btrfs-cleaner]
root         504       2  0 21:07 ?        00:00:05 [btrfs-transaction]
root         531       2  0 21:07 ?        00:00:00 [kworker/R-amdgpu-reset-dev]
root         532       2  0 21:07 ?        00:00:00 [kworker/R-ttm]
root         533       2  0 21:07 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         534       2  0 21:07 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         535       2  0 21:07 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         536       2  0 21:07 ?        00:00:00 [kworker/R-dm_vblank_control_workqueue]
root         537       2  0 21:07 ?        00:00:00 [card1-crtc0]
root         538       2  0 21:07 ?        00:00:00 [card1-crtc1]
root         539       2  0 21:07 ?        00:00:00 [card1-crtc2]
root         540       2  0 21:07 ?        00:00:00 [card1-crtc3]
root         541       2  0 21:07 ?        00:00:00 [kworker/R-gfx]
root         542       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.0.0]
root         543       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.1.0]
root         544       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.2.0]
root         545       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.3.0]
root         546       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.0.1]
root         547       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.1.1]
root         548       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.2.1]
root         549       2  0 21:07 ?        00:00:00 [kworker/R-comp_1.3.1]
root         550       2  0 21:07 ?        00:00:00 [kworker/R-sdma0]
root         551       2  0 21:07 ?        00:00:00 [kworker/R-vcn_dec]
root         552       2  0 21:07 ?        00:00:00 [kworker/R-vcn_enc0]
root         553       2  0 21:07 ?        00:00:00 [kworker/R-vcn_enc1]
root         554       2  0 21:07 ?        00:00:00 [kworker/R-jpeg_dec]
root         569       2  0 21:07 ?        00:00:00 [kworker/3:8-mm_percpu_wq]
root         614       2  0 21:07 ?        00:00:00 [kworker/0:2-mm_percpu_wq]
root         628       1  0 21:07 ?        00:00:02 /usr/lib/systemd/systemd-journald
root         658       1  0 21:07 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         668       1  0 21:07 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         669       2  0 21:07 ?        00:00:00 [kworker/10:2-mm_percpu_wq]
root         674       2  0 21:07 ?        00:00:00 [psimon]
root         792       2  0 21:07 ?        00:00:00 [kworker/R-led_workqueue]
root         801       2  0 21:07 ?        00:00:00 [jbd2/nvme0n1p4-8]
root         802       2  0 21:07 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
systemd+     860       1  0 21:07 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         863       1  0 21:07 ?        00:00:00 /usr/bin/auditd
dbus         890       1  0 21:07 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         891     890  0 21:07 ?        00:00:00 dbus-broker --log 10 --controller 9 --machine-id 6c83dc3d78c84620a08ce3b125ce7b06 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        894       1  0 21:07 ?        00:00:00 avahi-daemon: running [fedora.local]
root         897       1  0 21:07 ?        00:00:00 /usr/sbin/irqbalance
chrony       898       1  0 21:07 ?        00:00:00 /usr/sbin/chronyd -n -F 2
root         900       1  0 21:07 ?        00:00:00 /usr/libexec/low-memory-monitor
polkitd      903       1  0 21:07 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit        904       1  0 21:07 ?        00:00:00 /usr/libexec/rtkit-daemon
root         905       1  0 21:07 ?        00:00:00 /usr/bin/smartd -n -q never --capabilities=mail
root         906       1  0 21:07 ?        00:00:00 /usr/libexec/switcheroo-control
root         907       1  0 21:07 ?        00:00:00 /usr/lib/systemd/systemd-machined
root         909       1  0 21:07 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         910       1  0 21:07 ?        00:00:00 /usr/libexec/upowerd
root         918       1  0 21:07 ?        00:00:00 /usr/libexec/accounts-daemon
root         926       1  0 21:07 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         937       2  0 21:07 ?        00:00:00 [psimon]
avahi        938     894  0 21:07 ?        00:00:00 avahi-daemon: chroot helper
root         947       1  0 21:07 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root         956       1  0 21:07 ?        00:00:00 /usr/sbin/abrtd -d -s
root        1006       1  0 21:07 ?        00:00:00 /usr/bin/ModemManager
root        1007       1  0 21:07 ?        00:00:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1023       1  0 21:07 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1024       1  0 21:07 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
root        1025       1  0 21:07 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1051       2  0 21:07 ?        00:00:00 [kworker/R-rpciod]
root        1052       2  0 21:07 ?        00:00:00 [kworker/R-xprtiod]
root        1075       1  0 21:07 ?        00:00:00 /usr/bin/NetworkManager --no-daemon
root        1094       1  0 21:07 ?        00:00:00 /usr/bin/cupsd -l
root        1096       1  0 21:07 ?        00:00:00 /usr/bin/gssproxy -i
root        1103       1  0 21:07 ?        00:00:00 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1128       1  0 21:07 ?        00:00:00 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1135       1  0 21:07 ?        00:00:01 /usr/sbin/rsyslogd -n
root        1140       1  0 21:07 ?        00:00:00 /usr/sbin/atd -f
root        1141       1  0 21:07 ?        00:00:00 /usr/sbin/crond -n
root        1142       1  0 21:07 ?        00:00:00 /usr/bin/gdm
root        1190       1  0 21:07 ?        00:00:00 /usr/libexec/uresourced
root        1200       2  0 21:07 ?        00:00:00 [psimon]
root        1213       2  0 21:07 ?        00:00:00 [kworker/5:2-mm_percpu_wq]
colord      1340       1  0 21:07 ?        00:00:00 /usr/libexec/colord
root        1465       1  0 21:07 ?        00:00:00 /usr/bin/pcscd --foreground --auto-exit
geoclue     1524       1  0 21:07 ?        00:00:00 /usr/libexec/geoclue
root        1562       1  0 21:07 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        2405    1142  0 21:08 ?        00:00:00 gdm-session-worker [pam/gdm-password]
kev         2548       1  0 21:08 ?        00:00:01 /usr/lib/systemd/systemd --user
kev         2550    2548  0 21:08 ?        00:00:00 (sd-pam)
kev         2568       1  0 21:08 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kev         2668    2405  0 21:08 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
kev         2672    2548  0 21:08 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
kev         2697    2672  0 21:08 ?        00:00:01 dbus-broker --log 10 --controller 9 --machine-id 6c83dc3d78c84620a08ce3b125ce7b06 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
kev         2703    2668  0 21:08 tty2     00:00:00 /usr/libexec/gnome-session-init-worker gnome
kev         2823    2548  0 21:08 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
kev         2824    2548  0 21:08 ?        00:00:00 /usr/libexec/uresourced --user
kev         2832    2548  0 21:08 ?        00:00:00 /usr/libexec/gnome-session-service --session=gnome
kev         2833    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfsd
kev         2842    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kev         2855    2548  0 21:08 ?        00:00:01 /usr/bin/pipewire
kev         2856    2548  0 21:08 ?        00:00:00 /usr/bin/wireplumber
kev         2857    2548  5 21:08 ?        00:05:56 /usr/bin/gnome-shell
kev         2926    2548  0 21:08 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kev         2932    2926  0 21:08 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
kev         2933    2932  0 21:08 ?        00:00:00 dbus-broker --log 10 --controller 9 --machine-id 6c83dc3d78c84620a08ce3b125ce7b06 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
kev         2934    2548  0 21:08 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kev         2939    2548  0 21:08 ?        00:00:00 /usr/libexec/xdg-permission-store
kev         2940    2548  0 21:08 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
kev         2965    2548  0 21:08 ?        00:00:00 /usr/libexec/evolution-source-registry
kev         2978    2548  0 21:08 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
kev         3000    2548  0 21:08 ?        00:00:06 /usr/bin/ibus-daemon --panel disable
kev         3003    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-a11y-settings
kev         3005    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-color
kev         3007    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-datetime
kev         3010    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-housekeeping
kev         3019    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-keyboard
kev         3020    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
kev         3022    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-media-keys
kev         3028    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-power
kev         3034    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-print-notifications
kev         3036    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-rfkill
kev         3049    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
kev         3056    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-sharing
kev         3061    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-smartcard
kev         3078    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-sound
kev         3080    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-usb-protection
kev         3089    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-wwan
kev         3138    3000  0 21:08 ?        00:00:00 /usr/libexec/ibus-dconf
kev         3140    3000  0 21:08 ?        00:00:03 /usr/libexec/ibus-extension-gtk3
kev         3155    2548  0 21:08 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
kev         3181    2548  0 21:08 ?        00:00:00 /usr/libexec/ibus-portal
kev         3272    2548  0 21:08 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
kev         3296    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
kev         3298    2548  0 21:08 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
kev         3312    2548  0 21:08 ?        00:00:25 /usr/bin/gnome-software --gapplication-service
kev         3330    2548  0 21:08 ?        00:00:00 /usr/libexec/goa-daemon
kev         3334    2548  0 21:08 ?        00:00:00 /usr/libexec/evolution-calendar-factory
kev         3343    2548  0 21:08 ?        00:00:01 /usr/bin/pipewire-pulse
kev         3352    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kev         3400    2548  0 21:08 ?        00:00:00 /usr/libexec/goa-identity-service
kev         3401    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kev         3402    2548  0 21:08 ?        00:00:00 /usr/libexec/xdg-desktop-portal
kev         3423    2548  0 21:08 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
kev         3426    2548  0 21:08 ?        00:00:00 /usr/libexec/xdg-document-portal
root        3437    3426  0 21:08 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
kev         3449    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kev         3453    2548  0 21:08 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
kev         3466    2548  0 21:08 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
sssd        3503       1  0 21:08 ?        00:00:00 /usr/libexec/sssd/sssd_kcm --logger=files
root        3511       1  0 21:08 ?        00:00:00 /usr/sbin/abrt-dbus -t133
root        3540       2  0 21:08 ?        00:00:00 [kworker/u49:10-ttm]
kev         3575    3000  0 21:08 ?        00:00:01 /usr/libexec/ibus-engine-simple
kev         3640    2548  0 21:08 ?        00:00:01 /usr/libexec/gvfsd-metadata
kev         3664    2548  0 21:08 ?        00:00:00 /usr/libexec/dconf-service
kev         4128    2548  0 21:08 ?        00:00:00 /usr/libexec/gsd-printer
kev         4135    2548  0 21:08 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
kev         4144    2548  0 21:08 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
root        4163       1  0 21:08 ?        00:00:00 /usr/libexec/fwupd/fwupd
kev         4781    2548  0 21:09 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
kev         4787    2548  0 21:09 ?        00:00:00 /usr/lib64/firefox/firefox --dbus-service /usr/bin/firefox
kev         4820    2833  0 21:09 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
kev         5015    2548  0 21:09 ?        00:00:00 /usr/lib64/firefox/crashhelper 4787 9 /tmp/ 11
kev         5144    2548  0 21:09 ?        00:00:00 /usr/libexec/bluetooth/obexd
kev         5334    2857  1 21:09 ?        00:01:26 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.AXOGH3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
kev         5347    2548  0 21:09 ?        00:00:00 /usr/libexec/gsd-xsettings
kev         5359    2857  0 21:09 ?        00:00:10 /usr/libexec/mutter-x11-frames
kev         5366    2548  0 21:09 ?        00:00:00 /usr/libexec/ibus-x11
kev         5548    2833  0 21:09 ?        00:00:00 /usr/libexec/gvfsd-http --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
kev         5818    3000  0 21:09 ?        00:00:00 /usr/bin/python3 /usr/share/ibus-typing-booster/engine/main.py --ibus
kev         7061    2548  0 21:09 ?        00:00:00 /usr/libexec/flatpak-session-helper
kev         7066    2548  0 21:09 ?        00:00:00 server --sh -n /run/user/1000/.flatpak-helper/pkcs11-flatpak-7061 --provider p11-kit-trust.so pkcs11:model=p11-kit-trust?write-protected=yes
kev         7080    2548  0 21:09 ?        00:00:00 /usr/libexec/flatpak-portal
kev        10500    2548  0 21:12 ?        00:00:01 /opt/docker-desktop/bin/com.docker.backend
kev        10515   10500  1 21:12 ?        00:02:02 /opt/docker-desktop/bin/com.docker.backend services
kev        10586   10515  0 21:12 ?        00:00:00 /opt/docker-desktop/bin/com.docker.build --log-no-timestamp
kev        10638   10515  0 21:12 ?        00:00:20 /opt/docker-desktop/Docker Desktop --reason=open-tray --analytics-enabled=true --name=dashboard
kev        10639   10515  0 21:12 ?        00:00:00 /opt/docker-desktop/bin/virtiofsd --socket-path=/home/kev/.docker/desktop/virtiofs.sock0 --cache=auto --shared-dir=/home --sandbox=none --announce-submounts --xattr --xattrmap=:prefix:all::user.docker.desktop.::bad:all::: --translate-uid squash-guest:0:1000:4294967295 --translate-gid squash-guest:0:1000:4294967295
